Date,GS
20231207,336.4693603515625
20231208,342.532470703125
20231211,343.44049072265625
20231212,344.2703552246094
20231213,354.1510009765625
20231214,374.4004821777344
20231215,371.510498046875
20231218,367.4977111816406
20231219,373.4046325683594
20231220,368.5912170410156
20231221,371.5691223144531
20231222,371.64715576171875
20231226,372.58447265625
20231227,375.3866271972656
20231228,377.2709655761719
20231229,376.6461181640625
20240102,379.1162414550781
20240103,372.76025390625
20240104,373.892822265625
20240105,377.3002624511719
20240108,379.66302490234375
20240109,374.6640930175781
20240110,372.92620849609375
20240111,370.76849365234375
20240112,368.8157958984375
20240116,371.451904296875
20240117,368.2592468261719
20240118,367.99566650390625
20240119,373.16058349609375
20240122,376.8315734863281
20240123,371.76434326171875
20240124,370.4267272949219
20240125,373.64874267578125
20240126,368.8548583984375
20240129,371.559326171875
20240130,377.7200622558594
20240131,374.927734375
20240201,374.7715148925781
20240202,378.6866455078125
20240205,373.9611511230469
20240206,375.8845520019531
20240207,377.5150451660156
20240208,375.933349609375
20240209,375.1718444824219
20240212,383.3536376953125
20240213,369.7921447753906
20240214,369.0989685058594
20240215,376.30438232421875
20240216,375.34759521484375
20240220,375.4256286621094
20240221,379.08697509765625
20240222,381.2349548339844
20240223,381.80120849609375
20240226,380.9908447265625
20240227,381.56689453125
20240228,386.6012268066406
20240229,382.5403137207031
20240301,381.60626220703125
20240304,385.6867980957031
20240305,384.3692321777344
20240306,383.0516662597656
20240307,381.93072509765625
20240308,380.5148010253906
20240311,379.6986999511719
20240312,381.6849060058594
20240313,385.7458190917969
20240314,382.1076965332031
20240315,380.73114013671875
20240318,377.93865966796875
20240319,382.1568603515625
20240320,389.8362121582031
20240321,406.7877502441406
20240322,400.0130310058594
20240325,398.1644592285156
20240326,399.38372802734375
20240327,408.3019714355469
20240328,410.70111083984375
20240401,406.5910949707031
20240402,403.2872619628906
20240403,407.0728759765625
20240404,399.4525451660156
20240405,401.2420959472656
20240408,403.6708068847656
20240409,403.8379211425781
20240410,394.0544128417969
20240411,390.82928466796875
