Date,BAC
20230505,26.37635040283203
20230508,26.357316970825195
20230509,26.32875633239746
20230510,26.0051212310791
20230511,26.071752548217773
20230512,25.786191940307617
20230515,26.319238662719727
20230516,26.043197631835938
20230517,27.194961547851562
20230518,27.09977149963379
20230519,26.75710105895996
20230522,26.976032257080078
20230523,27.204479217529297
20230524,26.747583389282227
20230525,26.814210891723633
20230526,26.947473526000977
20230530,26.899879455566406
20230531,26.452503204345703
20230601,26.653989791870117
20230602,27.54629135131836
20230605,27.3831844329834
20230606,28.045215606689453
20230607,28.285083770751953
20230608,28.045215606689453
20230609,28.083595275878906
20230612,27.949270248413086
20230613,28.208324432373047
20230614,27.939674377441406
20230615,28.17954444885254
20230616,28.006837844848633
20230620,27.699810028076172
20230621,27.411970138549805
20230622,26.826692581176758
20230623,26.625205993652344
20230626,26.951425552368164
20230627,27.09534454345703
20230628,26.932235717773438
20230629,27.498321533203125
20230630,27.5271053314209
20230703,28.01643180847168
20230705,27.901296615600586
20230706,27.133724212646484
20230707,27.37358856201172
20230710,27.498321533203125
20230711,27.84372901916504
20230712,28.16994857788086
20230713,28.46738052368164
20230714,27.930078506469727
20230717,28.208324432373047
20230718,29.45563507080078
20230719,30.251989364624023
20230720,30.405506134033203
20230721,30.683752059936523
20230724,31.326597213745117
20230725,30.84686279296875
20230726,31.096317291259766
20230727,30.654966354370117
20230728,30.606992721557617
20230731,30.702939987182617
20230801,30.33834457397461
20230802,29.925771713256836
20230803,30.13685417175293
20230804,30.031312942504883
20230807,30.587800979614258
20230808,30.00252914428711
20230809,29.609148025512695
20230810,29.68590545654297
20230811,30.021718978881836
20230814,29.67630958557129
20230815,28.726438522338867
20230816,28.102787017822266
20230817,28.093191146850586
20230818,27.930078506469727
20230821,27.96845817565918
20230822,27.287235260009766
20230823,27.29683494567871
20230824,27.459941864013672
20230825,27.344806671142578
20230828,27.594268798828125
20230829,27.987648010253906
20230830,27.862918853759766
20230831,27.737146377563477
20230901,28.03706169128418
20230905,27.717798233032227
20230906,27.466257095336914
20230907,27.214717864990234
20230908,27.437236785888672
20230911,27.55333137512207
20230912,28.027387619018555
20230913,27.94031524658203
20230914,28.24990463256836
20230915,27.9016170501709
20230918,27.824216842651367
20230919,27.717798233032227
20230920,27.62105369567871
20230921,27.13732147216797
20230922,26.74066162109375
20230925,26.70196533203125
20230926,26.285953521728516
20230927,26.38270378112793
20230928,26.66326332092285
20230929,26.489120483398438
20231002,25.831247329711914
20231003,25.066951751708984
20231004,25.095975875854492
20231005,25.21207046508789
20231006,25.22174644470215
20231009,25.453933715820312
20231010,26.131160736083984
20231011,26.140836715698242
20231012,26.024738311767578
20231013,25.889293670654297
20231016,26.1118106842041
20231017,26.7213134765625
20231018,26.42140007019043
20231019,26.082786560058594
20231020,25.453933715820312
20231023,24.738014221191406
20231024,24.64126968383789
20231025,24.718664169311523
20231026,25.27012062072754
20231027,24.351028442382812
20231030,24.854110717773438
20231031,25.482959747314453
20231101,25.5410099029541
20231102,26.7213134765625
20231103,27.495283126831055
20231106,27.40821075439453
20231107,27.243741989135742
20231108,26.982528686523438
20231109,26.634241104125977
20231110,26.779361724853516
20231113,26.798709869384766
20231114,28.26925277709961
20231115,28.656238555908203
20231116,28.578842163085938
20231117,29.004520416259766
20231120,29.033546447753906
20231121,28.69493865966797
20231122,28.665912628173828
20231124,28.762659072875977
20231127,28.598190307617188
20231128,28.56916618347168
20231129,29.32378578186035
20231130,29.73336410522461
20231201,30.19169807434082
20231204,30.055173873901367
20231205,29.821130752563477
20231206,29.772371292114258
20231207,29.899145126342773
20231208,30.19169807434082
20231211,30.084430694580078
20231212,29.97715950012207
20231213,31.24489974975586
20231214,33.097747802734375
20231215,32.76618194580078
20231218,32.60040283203125
20231219,32.67841720581055
20231220,32.16157150268555
20231221,32.37611389160156
20231222,32.60040283203125
20231226,33.01973342895508
20231227,33.00022888183594
20231228,33.039241790771484
20231229,32.83444595336914
20240102,33.05874252319336
20240103,32.69791793823242
20240104,32.96122360229492
20240105,33.57558822631836
20240108,33.31229019165039
20240109,32.795440673828125
20240110,32.76618194580078
20240111,32.32735824584961
20240112,31.986038208007812
20240116,31.322914123535156
20240117,31.010852813720703
20240118,30.94259262084961
20240119,31.42043113708496
20240122,31.742238998413086
20240123,31.956787109375
20240124,32.16157150268555
