Date,MRNA
20231208,80.31999969482422
20231211,82.0
20231212,78.04000091552734
20231213,78.5999984741211
20231214,85.87000274658203
20231215,86.01000213623047
20231218,85.41999816894531
20231219,89.08999633789062
20231220,86.19000244140625
20231221,91.16000366210938
20231222,94.88999938964844
20231226,97.33000183105469
20231227,100.7300033569336
20231228,98.79000091552734
20231229,99.44999694824219
20240102,112.5
20240103,108.58000183105469
20240104,108.66000366210938
20240105,111.12000274658203
20240108,115.44000244140625
20240109,110.18000030517578
20240110,109.45999908447266
20240111,106.79499816894531
20240112,105.94999694824219
20240116,102.16000366210938
20240117,100.3499984741211
20240118,99.06999969482422
20240119,99.69999694824219
20240122,99.69999694824219
20240123,101.91999816894531
20240124,101.11000061035156
20240125,102.80999755859375
20240126,101.80999755859375
20240129,104.83999633789062
20240130,102.47000122070312
20240131,101.05000305175781
20240201,99.0199966430664
20240202,97.5
20240205,95.48999786376953
20240206,100.02999877929688
20240207,99.30000305175781
20240208,93.66000366210938
20240209,87.41000366210938
20240212,89.0
20240213,85.37000274658203
20240214,85.94999694824219
20240215,91.13999938964844
20240216,88.37000274658203
20240220,86.98999786376953
20240221,87.58999633789062
20240222,99.44000244140625
20240223,96.45999908447266
20240226,94.0199966430664
20240227,96.19999694824219
20240228,97.4800033569336
20240229,92.23999786376953
20240301,95.05999755859375
20240304,96.0
20240305,95.55999755859375
20240306,98.0999984741211
20240307,99.4800033569336
20240308,103.02999877929688
20240311,111.9800033569336
20240312,110.43000030517578
20240313,106.51000213623047
20240314,103.45999908447266
20240315,103.8499984741211
20240318,104.26000213623047
20240319,105.11000061035156
20240320,103.08000183105469
20240321,104.08999633789062
20240322,105.43000030517578
20240325,110.37999725341797
20240326,107.41000366210938
20240327,110.58999633789062
20240328,106.55999755859375
20240401,105.5999984741211
20240402,103.61000061035156
20240403,101.20999908447266
20240404,102.2699966430664
20240405,102.87999725341797
20240408,105.08999633789062
20240409,111.5999984741211
20240410,107.13999938964844
20240411,107.01000213623047
20240412,105.13999938964844
20240415,103.86000061035156
20240416,103.79000091552734
20240417,103.44000244140625
20240418,102.0
20240419,101.41000366210938
20240422,104.45999908447266
20240423,107.88999938964844
20240424,108.8499984741211
20240425,106.18000030517578
20240426,107.97000122070312
20240429,111.62000274658203
20240430,110.30999755859375
20240501,111.45999908447266
20240502,125.58999633789062
20240503,125.0
20240506,122.12999725341797
20240507,121.06999969482422
20240508,121.88999938964844
20240509,122.69000244140625
20240510,117.30999755859375
20240513,125.66999816894531
20240514,128.32000732421875
20240515,129.05999755859375
20240516,132.67999267578125
20240517,132.89999389648438
20240520,141.00999450683594
20240521,143.69000244140625
20240522,163.3300018310547
20240523,164.00999450683594
20240524,166.61000061035156
20240528,153.1999969482422
20240529,147.9199981689453
20240530,151.49000549316406
20240531,142.5500030517578
20240603,147.82000732421875
20240604,145.33999633789062
20240605,154.83999633789062
20240606,154.69000244140625
20240607,151.00999450683594
20240610,148.58999633789062
20240611,148.38999938964844
20240612,147.72000122070312
20240613,145.22999572753906
20240614,140.02999877929688
20240617,137.89999389648438
20240618,133.27000427246094
20240620,134.39999389648438
20240621,133.39999389648438
20240624,137.0
20240625,137.60000610351562
20240626,122.44999694824219
20240627,121.18000030517578
20240628,118.75
20240701,115.94999694824219
20240702,117.06999969482422
20240703,115.94999694824219
20240705,118.31999969482422
