Date,AMZN
20231227,153.33999633789062
20231228,153.3800048828125
20231229,151.94000244140625
20240102,149.92999267578125
20240103,148.47000122070312
20240104,144.57000732421875
20240105,145.24000549316406
20240108,149.10000610351562
20240109,151.3699951171875
20240110,153.72999572753906
20240111,155.17999267578125
20240112,154.6199951171875
20240116,153.16000366210938
20240117,151.7100067138672
20240118,153.5
20240119,155.33999633789062
20240122,154.77999877929688
20240123,156.02000427246094
20240124,156.8699951171875
20240125,157.75
20240126,159.1199951171875
20240129,161.25999450683594
20240130,159.0
20240131,155.1999969482422
20240201,159.27999877929688
20240202,171.80999755859375
