Date,TSLA
20231211,239.74000549316406
20231212,237.00999450683594
20231213,239.2899932861328
20231214,251.0500030517578
20231215,253.5
20231218,252.0800018310547
20231219,257.2200012207031
20231220,247.13999938964844
20231221,254.5
20231222,252.5399932861328
20231226,256.6099853515625
20231227,261.44000244140625
20231228,253.17999267578125
20231229,248.47999572753906
20240102,248.4199981689453
20240103,238.4499969482422
20240104,237.92999267578125
20240105,237.49000549316406
20240108,240.4499969482422
20240109,234.9600067138672
20240110,233.94000244140625
20240111,227.22000122070312
20240112,218.88999938964844
20240116,219.91000366210938
20240117,215.5500030517578
20240118,211.8800048828125
20240119,212.19000244140625
20240122,208.8000030517578
20240123,209.13999938964844
20240124,207.8300018310547
20240125,182.6300048828125
20240126,183.25
20240129,190.92999267578125
20240130,191.58999633789062
20240131,187.2899932861328
20240201,188.86000061035156
20240202,187.91000366210938
20240205,181.05999755859375
20240206,185.10000610351562
20240207,187.5800018310547
20240208,189.55999755859375
20240209,193.57000732421875
20240212,188.1300048828125
20240213,184.02000427246094
20240214,188.7100067138672
20240215,200.4499969482422
20240216,199.9499969482422
20240220,193.75999450683594
20240221,194.77000427246094
20240222,197.41000366210938
20240223,191.97000122070312
20240226,199.39999389648438
20240227,199.72999572753906
20240228,202.0399932861328
20240229,201.8800048828125
20240301,202.63999938964844
20240304,188.13999938964844
20240305,180.74000549316406
20240306,176.5399932861328
20240307,178.64999389648438
20240308,175.33999633789062
20240311,177.77000427246094
20240312,177.5399932861328
20240313,169.47999572753906
20240314,162.5
20240315,163.57000732421875
20240318,173.8000030517578
20240319,171.32000732421875
20240320,175.66000366210938
20240321,172.82000732421875
20240322,170.8300018310547
20240325,172.6300048828125
20240326,177.6699981689453
20240327,179.8300018310547
20240328,175.7899932861328
20240401,175.22000122070312
20240402,166.6300048828125
20240403,168.3800048828125
20240404,171.11000061035156
20240405,164.89999389648438
20240408,172.97999572753906
20240409,176.8800048828125
20240410,171.75999450683594
20240411,174.60000610351562
20240412,171.0500030517578
20240415,161.47999572753906
20240416,157.11000061035156
