Date,AMD
20230818,105.44999694824219
20230821,108.22000122070312
20230822,105.66000366210938
20230823,109.43000030517578
20230824,101.80000305175781
20230825,102.25
20230828,102.61000061035156
20230829,105.91999816894531
20230830,106.58999633789062
20230831,105.72000122070312
20230901,109.44999694824219
20230905,110.77999877929688
20230906,109.27999877929688
20230907,106.58999633789062
20230908,106.08999633789062
20230911,105.31999969482422
20230912,105.30999755859375
20230913,107.70999908447266
20230914,106.62999725341797
20230915,101.48999786376953
20230918,102.37000274658203
20230919,101.61000061035156
20230920,100.33999633789062
20230921,96.11000061035156
20230922,96.19999694824219
20230925,97.37999725341797
20230926,95.95999908447266
20230927,98.06999969482422
20230928,102.76000213623047
20230929,102.81999969482422
20231002,103.2699966430664
20231003,100.08000183105469
20231004,104.06999969482422
20231005,102.91000366210938
20231006,107.23999786376953
20231009,106.97000122070312
20231010,109.01000213623047
20231011,108.30999755859375
20231012,108.79000091552734
20231013,105.08999633789062
20231016,106.45999908447266
20231017,105.13999938964844
20231018,102.16999816894531
20231019,102.4000015258789
20231020,101.80999755859375
20231023,100.01000213623047
20231024,101.66999816894531
20231025,96.05999755859375
20231026,93.66999816894531
20231027,96.43000030517578
20231030,96.18000030517578
20231031,98.5
20231101,108.04000091552734
20231102,107.83000183105469
20231103,112.25
20231106,111.75
20231107,113.44999694824219
20231108,113.58999633789062
20231109,113.48999786376953
20231110,118.58999633789062
20231113,116.79000091552734
20231114,119.87999725341797
20231115,118.0
20231116,119.83000183105469
20231117,120.62000274658203
20231120,121.52999877929688
20231121,119.16000366210938
20231122,122.51000213623047
20231124,122.30999755859375
20231127,122.6500015258789
20231128,122.01000213623047
20231129,123.8499984741211
20231130,121.16000366210938
20231201,121.38999938964844
20231204,118.56999969482422
20231205,118.37999725341797
20231206,116.81999969482422
20231207,128.3699951171875
20231208,128.9199981689453
20231211,134.41000366210938
20231212,137.61000061035156
20231213,138.19000244140625
20231214,138.0
20231215,139.14999389648438
20231218,138.89999389648438
20231219,140.14999389648438
20231220,135.47000122070312
20231221,139.91000366210938
20231222,139.60000610351562
20231226,143.41000366210938
20231227,146.07000732421875
20231228,148.75999450683594
20231229,147.41000366210938
20240102,138.5800018310547
20240103,135.32000732421875
20240104,136.00999450683594
20240105,138.5800018310547
20240108,146.17999267578125
20240109,149.25999450683594
20240110,148.5399932861328
20240111,148.02000427246094
20240112,146.55999755859375
20240116,158.74000549316406
20240117,160.1699981689453
20240118,162.6699981689453
20240119,174.22999572753906
20240122,168.17999267578125
20240123,168.4199981689453
20240124,178.2899932861328
20240125,180.3300018310547
20240126,177.25
20240129,177.8300018310547
20240130,172.05999755859375
20240131,167.69000244140625
