Date,INTC
20230614,34.86927032470703
20230615,35.10447311401367
20230616,35.64347839355469
20230620,34.300846099853516
20230621,32.2427978515625
20230622,32.05659484863281
20230623,32.34080505371094
20230626,32.674007415771484
20230627,33.418827056884766
20230628,32.899417877197266
20230629,32.25259780883789
20230630,32.772010803222656
20230703,32.94841384887695
20230705,31.860586166381836
20230706,31.331375122070312
20230707,31.213773727416992
20230710,32.08599853515625
20230711,32.63481140136719
20230712,33.30122375488281
20230713,33.19342041015625
20230714,32.48780059814453
20230717,33.683433532714844
20230718,33.81083679199219
20230719,33.771636962890625
20230720,32.70341110229492
20230721,33.34042739868164
20230724,32.95821762084961
20230725,33.418827056884766
20230726,33.67363357543945
20230727,33.85983657836914
20230728,36.094295501708984
20230731,35.05546951293945
20230801,35.08486557006836
20230802,33.703033447265625
20230803,34.17344665527344
20230804,34.561946868896484
20230807,34.65046691894531
20230808,34.44392013549805
20230809,33.716094970703125
20230810,34.109519958496094
20230811,34.316062927246094
20230814,35.09306335449219
20230815,34.19803237915039
20230816,32.978431701660156
20230817,32.04405975341797
20230818,32.211265563964844
20230821,32.5948486328125
20230822,32.348960876464844
20230823,33.4210319519043
20230824,32.05389404296875
20230825,32.703041076660156
20230828,33.066951751708984
20230829,33.745601654052734
20230830,33.96198272705078
20230831,34.561946868896484
20230901,36.00776672363281
20230905,36.10612487792969
20230906,36.371681213378906
20230907,37.55194091796875
20230908,37.384735107421875
20230911,37.9552001953125
20230912,38.22075653076172
20230913,38.07322311401367
20230914,38.033878326416016
20230915,37.25687789916992
20230918,37.36506652832031
20230919,35.742210388183594
20230920,34.11935043334961
20230921,34.08000946044922
20230922,33.617740631103516
20230925,33.72593307495117
20230926,33.273502349853516
20230927,34.040672302246094
20230928,34.60129165649414
20230929,34.96520233154297
20231002,34.876686096191406
20231003,35.10289764404297
20231004,35.33895492553711
20231005,35.29961013793945
20231006,35.59467315673828
20231009,35.46681213378906
20231010,35.830726623535156
20231011,36.27333068847656
20231012,36.233978271484375
20231013,35.3782958984375
20231016,35.95859146118164
20231017,35.46681213378906
20231018,35.0537223815918
20231019,35.083229064941406
20231020,34.34556579589844
20231023,33.29317092895508
20231024,34.02099609375
20231025,32.28995132446289
20231026,31.985048294067383
20231027,34.95536804199219
20231030,35.10289764404297
20231031,35.89957809448242
20231101,36.67658233642578
20231102,37.079833984375
20231103,37.51259994506836
20231106,37.44845962524414
20231107,38.257625579833984
20231108,37.418853759765625
20231109,37.30044174194336
20231110,38.346431732177734
20231113,37.724754333496094
20231114,38.88916015625
20231115,40.073307037353516
20231116,42.777095794677734
20231117,43.231014251708984
20231120,44.14872360229492
20231121,43.063262939453125
20231122,43.09286117553711
20231124,43.3790283203125
20231127,43.49745178222656
20231128,43.64546585083008
20231129,44.3460807800293
20231130,44.1092529296875
20231201,43.16194152832031
20231204,41.790306091308594
20231205,41.365989685058594
20231206,40.72458267211914
20231207,41.592952728271484
20231208,42.135684967041016
20231211,43.95136642456055
20231212,43.457977294921875
20231213,43.9809684753418
20231214,44.582908630371094
20231215,45.549957275390625
20231218,45.08616638183594
20231219,46.04335021972656
20231220,45.15523910522461
20231221,46.457801818847656
20231222,47.365638732910156
20231226,49.83259963989258
20231227,50.08916473388672
20231228,49.72405242919922
20231229,49.58590316772461
20240102,47.16828155517578
20240103,46.428192138671875
20240104,46.250572204589844
20240105,46.27030944824219
20240108,47.8096923828125
20240109,47.41497802734375
20240110,46.84264373779297
20240111,47.01039505004883
20240112,46.49726867675781
20240116,46.43806457519531
20240117,45.45127868652344
20240118,46.12229537963867
20240119,47.51365661621094
20240122,47.58273696899414
20240123,48.24387741088867
20240124,48.44123458862305
